id,state,diet_need,meal_type,dish,calories,protein_g,carbs_g,fat_g,fiber_g,glycemic_index,sodium_level,cholesterol_impact,allergens,base_ingredients,diet_type,meat_type,instructions,exercise,warning
22,Meghalaya,Weight Loss,Breakfast,Dohneiiong (Light Herbs; Weight Loss; Breakfast; Non-Vegetarian),274,24,8,16,3,High,High,High,,"meat, black sesame seeds, herbs",Non-Vegetarian,pork,Simmer the meat with black sesame and minimal oil. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
23,Meghalaya,Weight Loss,Breakfast,Ja Tyndong (Light Spice; Weight Loss; Breakfast; Non-Vegetarian),196,18,24,6,6,Medium,Low,Low,,"rice, fish or meat, vegetables, bamboo tube",Non-Vegetarian,fish,"Place rice, fish or meat, and vegetables in bamboo tubes and roast. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
24,Meghalaya,Weight Loss,Breakfast,"Jadoh (Steamed, No Oil; Weight Loss; Breakfast; Non-Vegetarian)",302,23,41,10,5,Medium,Medium,Low,,"red rice, local meat, herbs",Non-Vegetarian,pork,Cook red rice with the meat and just enough seasoning for aroma. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
25,Meghalaya,Weight Loss,Breakfast,Kharang (High Fibre; Weight Loss; Breakfast; Non-Vegetarian),151,26,3,6,2,Medium,Low,High,fish,"smoked fish, chili, herbs",Non-Vegetarian,fish,"Use smoked fish in a light curry, chutney, or salad. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled. Watch the sodium level if the fish component is salted or smoked.
26,Meghalaya,Weight Loss,Breakfast,Ktung Bain Nei-Iong (Dry Roasted; Weight Loss; Breakfast; Non-Vegetarian),183,22,5,8,3,Medium,Low,Medium,"sesame, fish","dry fish, black sesame, herbs",Non-Vegetarian,fish,Simmer dry fish with black sesame and mild spices. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled. Watch the sodium level if the fish component is salted or smoked.
27,Meghalaya,Weight Loss,Breakfast,Nakham Bitchi (No Added Salt; Weight Loss; Breakfast; Non-Vegetarian),191,24,7,8,2,Medium,High,High,fish,"dry fish, chili, garlic, herbs",Non-Vegetarian,fish,"Prepare dry fish gravy with garlic, chili, and local herbs. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled. Watch the sodium level if the fish component is salted or smoked.
28,Meghalaya,Weight Loss,Breakfast,Phan and Tungtap (Low Fat; Weight Loss; Breakfast; Non-Vegetarian),128,11,17,6,4,High,Medium,Medium,fish,"boiled potato, fermented dry fish, chili, onion",Non-Vegetarian,fish,Serve boiled potato with fermented dry fish chutney in a small portion. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled. Watch the sodium level if the fish component is salted or smoked.
29,Meghalaya,Weight Loss,Breakfast,Putharo with Dohjem (Fresh and Light; Weight Loss; Breakfast; Non-Vegetarian),322,24,36,11,4,Low,Low,Low,,"rice flour, pork curry, black sesame",Non-Vegetarian,pork,Pair the rice cake with pork curry and black sesame in a balanced serving. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
30,Meghalaya,Weight Loss,Breakfast,Shillong Smoked Meat (Half Portion; Weight Loss; Breakfast; Non-Vegetarian),191,24,3,9,3,Low,Low,Medium,,"smoked meat, onion, herbs",Non-Vegetarian,smoked meat,Serve smoked meat in small slices with onion and herbs. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
31,Meghalaya,Weight Loss,Breakfast,Wak Pura (Small Bowl; Weight Loss; Breakfast; Non-Vegetarian),276,26,6,19,4,High,High,High,,"pork, potash, herbs",Non-Vegetarian,pork,Cook pork with potash until tender and keep the fat controlled. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
32,Meghalaya,Weight Loss,Breakfast,Wak Tangsek Pura (Quick Steam; Weight Loss; Breakfast; Non-Vegetarian),221,25,8,12,4,Low,High,Low,,"pork, green vegetables, powdered rice",Non-Vegetarian,pork,Cook pork with green vegetables and powdered rice. Keep the oil minimal and the portion controlled. This version uses a traditional meat or fish component from Meghalaya cuisine.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
33,Meghalaya,Weight Loss,Breakfast,"Ja Shulia (Light Spice, Weight Loss; Weight Loss; Breakfast; Vegan)",133,4,30,1,3,Medium,Low,High,,"sticky rice, water",Vegan,,Steam the sticky rice until soft and fluff it lightly. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
34,Meghalaya,Weight Loss,Breakfast,"Local Fruit Bowl (Half Portion, Weight Loss; Weight Loss; Breakfast; Vegan)",75,1,18,0,7,Low,Medium,Medium,,"sohiong, sohshang, seasonal fruits",Vegan,,Serve the seasonal fruit fresh without added sugar. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
35,Meghalaya,Weight Loss,Breakfast,"Lungsiej (Quick Steam, Weight Loss; Weight Loss; Breakfast; Vegan)",45,3,6,1,4,Low,Low,Medium,,"bamboo shoot, chili, spices",Vegan,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
36,Meghalaya,Weight Loss,Breakfast,"Me.kin/Sobok Chatni (Dry Roasted, Weight Loss; Weight Loss; Breakfast; Vegan)",83,2,11,2,7,Medium,Medium,Medium,,"banana flower, herbs, chili",Vegan,,Pound banana flower with herbs and chili into a fresh chutney. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
37,Meghalaya,Weight Loss,Breakfast,"Pu-sla (Light Herbs, Weight Loss; Weight Loss; Breakfast; Vegan)",113,4,23,1,6,Low,High,Medium,,"rice flour, leaf wrap, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
38,Meghalaya,Weight Loss,Breakfast,"Pukhlein (Thin Serve, Weight Loss; Weight Loss; Breakfast; Vegan)",176,5,29,5,3,Low,High,High,,"rice flour, jaggery, oil",Vegan,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
39,Meghalaya,Weight Loss,Breakfast,"Pumaloi (Portion Controlled, Weight Loss; Weight Loss; Breakfast; Vegan)",116,4,25,1,6,Low,Low,Medium,,"ground rice, water, steam",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
40,Meghalaya,Weight Loss,Breakfast,"Pusaw (Minimal Oil, Weight Loss; Weight Loss; Breakfast; Vegan)",103,4,23,1,6,Low,Low,Low,,"unpolished rice, water",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
41,Meghalaya,Weight Loss,Breakfast,"Putharo (Steamed, No Oil, Weight Loss; Weight Loss; Breakfast; Vegan)",118,5,28,2,7,High,Medium,High,,"rice flour, water, black sesame",Vegan,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
42,Meghalaya,Weight Loss,Breakfast,"Red Rice with Bamboo Shoot and Herbs (Fresh and Light, Weight Loss; Weight Loss; Breakfast; Vegan)",146,5,29,1,7,Low,Low,Medium,,"red rice, bamboo shoot, local herbs",Vegan,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
43,Meghalaya,Weight Loss,Breakfast,"Roasted Maize (Leaf Wrapped, Weight Loss; Weight Loss; Breakfast; Vegan)",101,4,25,1,6,Medium,Low,Medium,,local maize,Vegan,,Dry-roast the maize over fire and season lightly. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
44,Meghalaya,Weight Loss,Breakfast,"Shaw Saw (Simple Prep, Weight Loss; Weight Loss; Breakfast; Vegan)",5,0,3,0,1,Medium,Medium,Low,,"red tea leaves, water",Vegan,,Brew the red tea without sugar and serve it hot. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
45,Meghalaya,Weight Loss,Breakfast,"Shillong Aloo Muri/Chana (Small Bowl, Weight Loss; Weight Loss; Breakfast; Vegan)",131,6,23,2,8,High,High,Medium,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegan,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
46,Meghalaya,Weight Loss,Breakfast,"Sohphlang with Perilla Seed Dip (High Fibre, Weight Loss; Weight Loss; Breakfast; Vegan)",88,4,14,4,8,High,Low,High,,"sohphlang root, perilla seeds, chili",Vegan,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
47,Meghalaya,Weight Loss,Breakfast,"Steamed Wild Greens with Sesame (Low Fat, Weight Loss; Weight Loss; Breakfast; Vegan)",81,6,8,5,8,Medium,Low,Medium,sesame,"wild greens, sesame seeds, herbs",Vegan,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
48,Meghalaya,Weight Loss,Breakfast,"Tungrymbai (No Added Salt, Weight Loss; Weight Loss; Breakfast; Vegan)",136,10,12,5,7,High,Medium,High,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegan,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the oil minimal and the portion controlled. This version stays plant-based with no dairy or eggs.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
49,Meghalaya,Weight Loss,Lunch,"Ja Shulia (Light Spice, Weight Loss; Weight Loss; Lunch; Vegetarian)",151,4,33,2,3,Low,Low,Medium,,"sticky rice, water",Vegetarian,,Steam the sticky rice until soft and fluff it lightly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
50,Meghalaya,Weight Loss,Lunch,"Local Fruit Bowl (Half Portion, Weight Loss; Weight Loss; Lunch; Vegetarian)",87,1,20,0,7,Medium,Medium,Low,,"sohiong, sohshang, seasonal fruits",Vegetarian,,Serve the seasonal fruit fresh without added sugar. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
51,Meghalaya,Weight Loss,Lunch,"Lungsiej (Quick Steam, Weight Loss; Weight Loss; Lunch; Vegetarian)",54,3,7,2,4,Medium,High,High,,"bamboo shoot, chili, spices",Vegetarian,,"Quick-pickle bamboo shoot with chili and spices, then serve as a side. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
52,Meghalaya,Weight Loss,Lunch,"Me.kin/Sobok Chatni (Dry Roasted, Weight Loss; Weight Loss; Lunch; Vegetarian)",95,2,11,3,7,Medium,Low,Low,,"banana flower, herbs, chili",Vegetarian,,Pound banana flower with herbs and chili into a fresh chutney. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
53,Meghalaya,Weight Loss,Lunch,"Pu-sla (Light Herbs, Weight Loss; Weight Loss; Lunch; Vegetarian)",128,4,25,2,6,High,Low,High,,"rice flour, leaf wrap, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
54,Meghalaya,Weight Loss,Lunch,"Pukhlein (Thin Serve, Weight Loss; Weight Loss; Lunch; Vegetarian)",197,5,31,6,3,Low,Medium,High,,"rice flour, jaggery, oil",Vegetarian,,Prepare the rice cake with a light batter and shallow-fry briefly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,"Avoid deep-frying and keep portions controlled. This is richer than steamed rice-cake dishes, so keep the serving smaller."
55,Meghalaya,Weight Loss,Lunch,"Pumaloi (Portion Controlled, Weight Loss; Weight Loss; Lunch; Vegetarian)",131,4,27,2,6,High,Medium,Low,,"ground rice, water, steam",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
56,Meghalaya,Weight Loss,Lunch,"Pusaw (Minimal Oil, Weight Loss; Weight Loss; Lunch; Vegetarian)",118,4,25,2,6,Medium,Medium,Low,,"unpolished rice, water",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
57,Meghalaya,Weight Loss,Lunch,"Putharo (Steamed, No Oil, Weight Loss; Weight Loss; Lunch; Vegetarian)",134,5,30,3,7,High,Low,Medium,,"rice flour, water, black sesame",Vegetarian,,Steam the rice cake in a traditional pot or leaf-lined steamer. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
58,Meghalaya,Weight Loss,Lunch,"Red Rice with Bamboo Shoot and Herbs (Fresh and Light, Weight Loss; Weight Loss; Lunch; Vegetarian)",164,5,31,2,7,Medium,Low,High,,"red rice, bamboo shoot, local herbs",Vegetarian,,Cook red rice with tender bamboo shoot and local herbs using very little oil. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
59,Meghalaya,Weight Loss,Lunch,"Roasted Maize (Leaf Wrapped, Weight Loss; Weight Loss; Lunch; Vegetarian)",115,4,27,2,6,Medium,Low,Medium,,local maize,Vegetarian,,Dry-roast the maize over fire and season lightly. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
60,Meghalaya,Weight Loss,Lunch,"Shaw Saw (Simple Prep, Weight Loss; Weight Loss; Lunch; Vegetarian)",5,0,3,0,1,Low,Medium,High,,"red tea leaves, water",Vegetarian,,Brew the red tea without sugar and serve it hot. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
61,Meghalaya,Weight Loss,Lunch,"Shillong Aloo Muri/Chana (Small Bowl, Weight Loss; Weight Loss; Lunch; Vegetarian)",148,6,25,3,8,Low,Medium,High,,"boiled potato, puffed rice, chana, onion, chili, lemon",Vegetarian,,"Toss boiled potato or chana with puffed rice, onion, chili, and lemon. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
62,Meghalaya,Weight Loss,Lunch,"Sohphlang with Perilla Seed Dip (High Fibre, Weight Loss; Weight Loss; Lunch; Vegetarian)",102,4,15,5,8,Medium,Low,Low,,"sohphlang root, perilla seeds, chili",Vegetarian,,Serve the root raw or lightly boiled with crushed perilla seeds. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
63,Meghalaya,Weight Loss,Lunch,"Steamed Wild Greens with Sesame (Low Fat, Weight Loss; Weight Loss; Lunch; Vegetarian)",93,6,8,6,8,Low,Medium,Medium,sesame,"wild greens, sesame seeds, herbs",Vegetarian,,Steam or lightly sauté the greens with sesame seeds and herbs. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.,30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
64,Meghalaya,Weight Loss,Lunch,"Tungrymbai (No Added Salt, Weight Loss; Weight Loss; Lunch; Vegetarian)",153,10,13,6,7,Low,High,Medium,"sesame, soy","fermented soybeans, black sesame, chili, herbs",Vegetarian,,"Cook fermented soybeans with black sesame, chili, and local herbs. Keep the oil minimal and the portion controlled. This version stays vegetarian and uses local plant-based ingredients.",30 minutes brisk walking or easy cycling,Avoid deep-frying and keep portions controlled.
